temperature;gas;humidity;barometer;IAQ;IAQ_S;VOCS;accuracy
30.22;120433.00;35.00;1000.65;45;54;0.78;3
30.22;121829.00;35.00;1000.66;45;54;0.78;3
30.22;121477.00;35.00;1000.65;45;54;0.78;3
30.23;121653.00;35.00;1000.66;45;54;0.78;3
30.23;120779.00;35.00;1000.62;45;54;0.78;3
30.22;121653.00;35.00;1000.66;46;56;0.80;3
30.23;121302.00;35.00;1000.66;46;56;0.80;3
30.23;122540.00;35.00;1000.65;46;56;0.80;3
30.23;121127.00;35.00;1000.65;45;54;0.78;3
30.23;120347.00;35.00;1000.65;45;54;0.78;3
30.24;122006.00;35.00;1000.62;45;54;0.78;3
30.24;120519.00;35.00;1000.65;46;55;0.79;3
30.23;121918.00;35.00;1000.62;46;55;0.79;3
30.24;120519.00;35.00;1000.65;46;55;0.79;3
30.24;119917.00;35.00;1000.62;46;55;0.79;3
30.24;120433.00;35.00;1000.65;46;55;0.79;3
30.25;120433.00;35.00;1000.62;46;55;0.79;3
30.26;120606.00;35.00;1000.62;47;57;0.81;3
30.26;121040.00;35.00;1000.62;47;57;0.81;3
30.26;120866.00;35.00;1000.62;47;57;0.81;3
30.26;121477.00;35.00;1000.62;47;57;0.81;3
30.26;121829.00;35.00;1000.62;47;57;0.81;3
30.26;120519.00;35.00;1000.65;47;57;0.81;3
30.26;121127.00;35.00;1000.60;48;58;0.82;3
30.27;121040.00;35.00;1000.65;48;58;0.82;3
30.27;120347.00;35.00;1000.65;48;58;0.82;3
30.28;120175.00;35.00;1000.62;48;59;0.84;3
30.28;121918.00;35.00;1000.62;48;59;0.84;3
30.28;120692.00;35.00;1000.62;48;59;0.84;3
30.27;120347.00;35.00;1000.62;48;59;0.83;3
30.28;121040.00;35.00;1000.62;48;59;0.83;3
30.29;120606.00;35.00;1000.65;48;59;0.83;3
30.29;120953.00;35.00;1000.65;48;59;0.84;3
30.29;120261.00;35.00;1000.62;48;59;0.84;3
30.29;121214.00;35.00;1000.62;48;59;0.84;3
30.29;120347.00;35.00;1000.62;48;58;0.82;3
30.30;120953.00;35.00;1000.60;48;58;0.82;3
30.31;121829.00;35.00;1000.62;48;58;0.82;3
30.31;120519.00;35.00;1000.65;48;58;0.82;3
30.32;120347.00;35.00;1000.62;48;58;0.82;3
30.32;120779.00;35.00;1000.62;48;58;0.82;3
30.32;121389.00;35.00;1000.62;48;58;0.82;3
30.32;121302.00;35.00;1000.62;48;58;0.82;3
30.32;120519.00;35.00;1000.60;48;58;0.82;3
30.33;120953.00;35.00;1000.62;48;59;0.83;3
30.33;120519.00;35.00;1000.62;48;59;0.83;3
30.34;121127.00;35.00;1000.62;48;59;0.83;3
30.33;119832.00;35.00;1000.62;48;58;0.82;3
30.33;120089.00;35.00;1000.60;48;58;0.82;3
30.32;120866.00;35.00;1000.60;48;58;0.82;3
30.31;120175.00;35.00;1000.62;47;57;0.81;3
30.30;118065.00;35.00;1000.62;47;57;0.81;3
30.20;113983.00;35.00;1000.60;47;57;0.81;3
30.18;110754.00;35.00;1000.65;54;67;0.95;3
30.18;110535.00;36.00;1000.65;54;67;0.95;3
30.21;108959.00;36.00;1000.66;54;67;0.95;3
30.22;110101.00;36.00;1000.66;63;79;1.14;3
30.22;110173.00;36.00;1000.66;63;79;1.14;3
30.23;111046.00;36.00;1000.62;63;79;1.14;3
30.22;110900.00;35.00;1000.65;67;86;1.25;3
30.22;112608.00;35.00;1000.66;67;86;1.25;3
30.04;111341.00;35.00;1000.62;67;86;1.25;3
29.96;112458.00;35.00;1000.60;69;88;1.31;3
29.96;112911.00;35.00;1000.60;69;88;1.31;3
30.00;113983.00;35.00;1000.62;69;88;1.31;3
30.02;113215.00;35.00;1000.60;70;90;1.34;3
30.04;114060.00;35.00;1000.60;70;90;1.34;3
30.05;113751.00;35.00;1000.62;70;90;1.34;3
30.06;114839.00;35.00;1000.60;70;91;1.35;3
30.07;114917.00;35.00;1000.62;70;91;1.35;3
30.08;114996.00;35.00;1000.62;70;91;1.35;3
30.07;115549.00;35.00;1000.62;69;88;1.30;3
30.09;115154.00;35.00;1000.62;69;88;1.30;3
30.09;115629.00;35.00;1000.60;69;88;1.30;3
30.10;114761.00;35.00;1000.60;67;86;1.26;3
