;temperatureEreignis;gasEreignis;humidityEreignis;barometerEreignis
881;30,57;56942;35;999,09
882;30,58;56942;35;999,09
883;30,58;57370;35;999,09
884;30,58;56981;35;999,09
885;30,58;57409;35;999,09
886;30,58;57370;35;999,09
887;30,58;57409;35;999,09
888;30,58;57058;35;999,09
889;30,58;57724;35;999,09
890;30,59;57292;35;999,12
891;30,58;57252;35;999,09
892;30,59;57566;35;999,09
893;30,59;57019;35;999,12
894;30,58;57487;35;999,08
895;30,59;57527;35;999,12
896;30,59;57487;35;999,12
897;30,59;57019;35;999,12
898;30,59;57566;35;999,12
899;30,59;57097;35;999,12
900;30,59;57527;35;999,09
901;30,59;57214;35;999,09
902;30,59;57175;35;999,08
903;30,59;57252;35;999,09
904;30,6;57175;35;999,08
905;30,59;57019;35;999,09
906;30,6;57527;35;999,09
907;30,6;57019;35;999,09
908;30,6;56942;35;999,09
909;30,6;57136;35;999,09
910;30,6;57566;35;999,09
911;30,6;57370;35;999,08
912;30,61;57527;35;999,09
913;30,61;57136;35;999,12
914;30,61;57409;35;999,09
915;30,6;57606;35;999,08
916;30,6;57527;35;999,06
917;30,61;57724;35;999,09
918;30,61;57883;35;999,09
919;30,61;57214;35;999,09
920;30,61;57566;35;999,08
921;30,61;57252;35;999,08
922;30,61;57606;35;999,08
923;30,61;57487;35;999,08
924;30,61;57606;35;999,06
925;30,62;57370;35;999,06
926;30,62;57764;35;999,08
927;30,62;58124;35;999,06
928;30,61;57566;35;999,06
929;30,61;57963;35;999,06
930;30,62;57923;35;999,06
931;30,61;57844;35;999,06
932;30,62;57409;35;999,08
933;30,62;57923;35;999,08
934;30,62;57804;35;999,06
935;30,62;57724;35;999,06
936;30,63;57487;35;999,08
937;30,63;57487;35;999,08
938;30,63;57844;35;999,08
939;30,63;57487;35;999,09
940;30,62;57645;35;999,09
941;30,63;57685;35;999,08
942;30,63;58003;35;999,08
943;30,63;58083;35;999,08
944;30,63;57645;35;999,08
945;30,63;58003;35;999,08
946;30,64;57764;35;999,08
947;30,65;57645;35;999,06
948;30,65;58003;35;999,08
949;30,64;57804;35;999,08
950;30,64;58083;35;999,08
951;30,64;57448;35;999,13
952;30,64;57487;35;999,08
953;30,65;57883;35;999,09
954;30,65;58003;35;999,13
955;30,65;57804;35;999,16
956;30,65;57566;35;999,13
957;30,65;58003;35;999,13
958;30,65;58610;35;999,13
959;30,65;57645;35;999,13
960;30,65;58003;35;999,13
961;30,65;57764;35;999,13
962;30,65;57645;35;999,13
963;30,66;57724;35;999,13
964;30,65;57685;35;999,13
965;30,65;58003;35;999,13
966;30,66;58043;35;999,13
967;30,66;58528;35;999,13
968;30,66;57804;35;999,16
969;30,66;58204;35;999,13
970;30,66;57963;35;999,17
971;30,67;58164;35;999,16
972;30,66;58043;35;999,16
973;30,66;57606;35;999,13
974;30,66;58244;35;999,13
975;30,66;58447;35;999,16
976;30,65;57844;35;999,16
977;30,66;57883;35;999,16
978;30,67;58124;35;999,13
979;30,66;58124;35;999,17
980;30,67;58003;35;999,17
981;30,67;58447;35;999,17
982;30,67;58447;35;999,17
983;30,67;58244;35;999,17
984;30,67;58043;35;999,17
985;30,68;58285;35;999,17
986;30,67;58244;35;999,17
987;30,67;58733;35;999,17
988;30,67;58043;35;999,17
989;30,67;58285;35;999,17
990;30,68;58488;35;999,16
991;30,67;58285;35;999,16
992;30,68;58488;35;999,16
993;30,68;58366;35;999,16
994;30,68;58528;35;999,17
995;30,68;58406;35;999,16
996;30,68;58406;35;999,17
997;30,68;58406;35;999,17
998;30,68;58285;35;999,17
999;30,68;58610;35;999,17
1000;30,67;58043;35;999,17
1001;30,68;58692;35;999,21
1002;30,68;58124;35;999,17
1003;30,68;58204;35;999,17
1004;30,68;58528;35;999,17
1005;30,69;58366;35;999,17
1006;30,68;58774;35;999,17
1007;30,68;58610;35;999,2
1008;30,69;58569;35;999,2
1009;30,69;58733;35;999,21
1010;30,68;58856;35;999,21
1011;30,69;58325;35;999,17
1012;30,69;58774;35;999,2
1013;30,69;58610;35;999,21
1014;30,69;58692;35;999,21
1015;30,69;58244;35;999,21
1016;30,69;58610;35;999,21
1017;30,7;58406;35;999,21
1018;30,69;58447;35;999,21
1019;30,69;58774;35;999,21
1020;30,7;58774;35;999,21
1021;30,7;58488;35;999,21
1022;30,7;58897;35;999,21
1023;30,7;58406;35;999,21
1024;30,69;58692;35;999,21
1025;30,7;59188;35;999,21
1026;30,69;58939;35;999,21
1027;30,7;59063;35;999,21
1028;30,7;58488;35;999,21
1029;30,7;59230;35;999,21
1030;30,7;58856;35;999,21
1031;30,7;59271;35;999,21
1032;30,7;58406;35;999,2
1033;30,7;59271;35;999,21
